feature,importance,scenario,asof_tag
wx_hot_d30_to_asof,0.0020768326626628346,all_crops,08_01
wx_dry_days_to_asof,0.691374760399745,all_crops,08_01
wx_drought_run_to_asof,0.2700927701812532,all_crops,08_01
wx_heat_run_to_asof,0.046334176663549484,all_crops,08_01
wx_apr_precip,0.46768300139053715,all_crops,08_01
wx_apr_srad,0.154988370706832,all_crops,08_01
wx_apr_et0,0.3124452544444711,all_crops,08_01
wx_may_precip,0.9732263303168462,all_crops,08_01
wx_may_temp_mean,0.45717543480990425,all_crops,08_01
wx_may_temp_max,0.06724630881159871,all_crops,08_01
wx_may_srad,3.5122637128000207,all_crops,08_01
wx_may_et0,1.0608900192804438,all_crops,08_01
wx_may_vpd_max,0.1735070429163085,all_crops,08_01
wx_jun_precip,0.42998333030976404,all_crops,08_01
wx_jun_temp_mean,0.5993141329744445,all_crops,08_01
wx_jun_temp_max,0.2092042212653003,all_crops,08_01
wx_jun_srad,0.04712522729380561,all_crops,08_01
wx_jun_et0,0.013935410532508954,all_crops,08_01
wx_jun_vpd_max,0.024606123981639506,all_crops,08_01
wx_jun_hot_d30,0.33086739895755884,all_crops,08_01
wx_jul_precip,0.3218859815164222,all_crops,08_01
wx_jul_temp_mean,0.1236038369177302,all_crops,08_01
wx_jul_temp_max,0.27643369476090307,all_crops,08_01
wx_jul_srad,0.105250128086262,all_crops,08_01
wx_jul_et0,0.6794164701156739,all_crops,08_01
wx_jul_vpd_max,0.07418713666960446,all_crops,08_01
wx_jul_hot_d30,0.0,all_crops,08_01
ndvi_anom_mean_asof,4.2343694958948825,all_crops,08_01
ndvi_anom_max_asof,2.8101578260632216,all_crops,08_01
ndvi_anom_min_asof,2.8693546869083852,all_crops,08_01
ndvi_anom_last_value_asof,0.7630128545861764,all_crops,08_01
ndvi_anom_last30d_mean_asof,1.6310059352194166,all_crops,08_01
ndvi_baseline_n_years,0.058218516730307,all_crops,08_01
sowing_date_valid,0.0,all_crops,08_01
days_after_sowing_asof,0.0,all_crops,08_01
sowing_doy,0.4204377234974524,all_crops,08_01
gdd_base_temp,0.0,all_crops,08_01
gdd_from_sowing_asof,0.04910557066383408,all_crops,08_01
wx_sow_precip_sum,0.5457275528898108,all_crops,08_01
wx_sow_et0_sum,0.12000916732227505,all_crops,08_01
wx_sow_water_balance,0.11408778392865193,all_crops,08_01
wx_sow_srad_sum,0.0,all_crops,08_01
wx_sow_vpd_max,0.16117219764848315,all_crops,08_01
wx_sow_vpd_days_high,0.44427139501846036,all_crops,08_01
wx_sow_hot_d30,0.0,all_crops,08_01
wx_sow_dry_days,0.0,all_crops,08_01
wx_sow_drought_run,0.38089137350853974,all_crops,08_01
ndvi_sow_n_obs,0.3843207787427964,all_crops,08_01
ndvi_sow_mean,1.8778745630326226,all_crops,08_01
ndvi_sow_max,1.9613727478616134,all_crops,08_01
ndvi_sow_last,0.19933803181928808,all_crops,08_01
ndvi_sow_peak_das,0.07542524461935174,all_crops,08_01
ndvi_at_das_30,0.6623729865219137,all_crops,08_01
ndvi_at_das_45,0.0358336140778434,all_crops,08_01
ndvi_at_das_60,0.09980981631486269,all_crops,08_01
ndvi_at_das_75,1.407679006613017,all_crops,08_01
