field_id,season,operation_type,agro_operation_id,mix_item_applicable_id,mix_item_applicable_name,mix_item_applicable_type,mix_item_fact_rate,mix_item_planned_rate,mix_item_rate_unit,mix_item_unit_id,actual_start_datetime,completed_date
218,2022,application,8065,50,,Seed,0.0,0.0,,19,2022-05-18T20:49:00.000+05:00,2022-05-19
218,2023,application,11759,93,,Seed,0.0,0.0,,19,2023-05-10T16:17:00.000+05:00,2023-05-11
218,2023,application,11759,36,,Seed,0.0,0.0,,19,2023-05-10T16:17:00.000+05:00,2023-05-11
218,2023,application,11759,94,,Seed,0.0,0.0,,19,2023-05-10T16:17:00.000+05:00,2023-05-11
218,2023,application,11759,95,,Seed,0.0,0.0,,19,2023-05-10T16:17:00.000+05:00,2023-05-11
218,2023,application,11759,62,,Seed,206.692,0.0,,19,2023-05-10T16:17:00.000+05:00,2023-05-11
218,2023,application,11759,49,,Seed,0.0,0.0,,19,2023-05-10T16:17:00.000+05:00,2023-05-11
218,2024,application,27485,37,,Seed,0.0,170.0,,19,2024-05-21T09:22:00.000+05:00,2024-05-21
218,2024,application,27485,155,,Seed,0.0,0.0,,32,2024-05-21T09:22:00.000+05:00,2024-05-21
218,2024,application,27485,132,,Seed,0.0,0.0,,19,2024-05-21T09:22:00.000+05:00,2024-05-21
218,2025,application,33143,200,,Seed,205.0,205.0,,19,2025-05-23T02:55:00.000+05:00,2025-05-23
219,2021,application,4272,39,,Seed,0.0,0.4231,,34,2021-05-07T14:09:00.000+05:00,2021-05-08
219,2021,application,4272,28,,Seed,0.0,0.4231,,34,2021-05-07T14:09:00.000+05:00,2021-05-08
219,2021,application,4272,26,,Seed,0.42000000000000004,0.4231,,34,2021-05-07T14:09:00.000+05:00,2021-05-08
219,2022,application,8066,37,,Seed,0.0,220.0,,19,2022-05-19T22:47:00.000+05:00,2022-05-21
219,2022,application,8066,49,,Seed,215.8,0.0,,19,2022-05-19T22:47:00.000+05:00,2022-05-21
