Поле,Регион,year,Культура,урожайность факт ц/га,урожайность прогноз ц/га,active,field_name_norm,field_id,name,lat,long,tillable_area,prod_fact_t_ha,prod_forecast_t_ha,standard_name,target_yield_t_ha,target_source,diff_prod_fact_minus_target,abs_diff
Бригадная стрелка,ВКО,2022,Подсолнечник,32.572197,31.92,True,бригадная стрелка,230,Бригадная стрелка,50.395122511500006,82.3635248892731,223.0,3.2572197000000003,3.192,sunflower,3.257219730941704,physical_harvested_weight,-3.0941703865750014e-08,3.0941703865750014e-08
Холодный ключ,ВКО,2024,Пшеница озимая,50.582692,49.363,True,холодный ключ,224,Холодный ключ,50.46114160184362,82.52865210168042,104.0,5.0582692,4.9363,wheat_winter,5.0582692307692305,physical_harvested_weight,-3.0769230718874496e-08,3.0769230718874496e-08
Холодный ключ,ВКО,2025,Подсолнечник,30.742308,29.077,True,холодный ключ,224,Холодный ключ,50.46114160184362,82.52865210168042,104.0,3.0742308,2.9077,sunflower,3.0742307692307693,physical_harvested_weight,3.0769230718874496e-08,3.0769230718874496e-08
Костенькина стрелка,ВКО,2025,Пшеница яровая,17.024265,28.967,True,костенькина стрелка,212,Костенькина стрелка,50.42075375796417,82.34016151551197,136.0,1.7024265,2.8967,wheat_spring,1.7024264705882353,physical_harvested_weight,2.94117648014236e-08,2.94117648014236e-08
Лоскутиха,ВКО,2023,Ячмень яровой,22.745063,24.396,True,лоскутиха,215,Лоскутиха,50.481633621513765,82.55476060472243,79.0,2.2745062999999996,2.4396,barley_spring,2.2745063291139243,physical_harvested_weight,-2.9113924604473596e-08,2.9113924604473596e-08
Бонн 1,ВКО,2025,Пшеница яровая,30.045763,35.23,True,бонн 1,228,Бонн 1,50.50213709474497,82.49442911808288,59.0,3.0045763,3.5229999999999997,wheat_spring,3.004576271186441,physical_harvested_weight,2.8813559094231778e-08,2.8813559094231778e-08
Красный яр,ВКО,2022,Пшеница яровая,39.754286,35.318,True,красный яр,234,Красный яр,50.4850059296264,82.525315141417,35.0,3.9754286,3.5317999999999996,wheat_spring,3.975428571428571,physical_harvested_weight,2.8571428778434438e-08,2.8571428778434438e-08
Лесополосы (Козлов увал левый) 05-080-025-182,ВКО,2022,Подсолнечник,14.814286,23.059,True,лесополосы козлов увал левый 05 080 025 182,213,Лесополосы (Козлов увал левый) 05-080-025-182,50.39439495003087,82.4009559934276,14.0,1.4814285999999999,2.3059000000000003,sunflower,1.481428571428571,physical_harvested_weight,2.8571428778434438e-08,2.8571428778434438e-08
Соколки 2,ВКО,2021,Подсолнечник,28.625714,26.7,True,соколки 2,223,Соколки 2,50.43672170185941,82.32653521086154,70.0,2.8625713999999998,2.67,sunflower,2.8625714285714285,physical_harvested_weight,-2.8571428778434438e-08,2.8571428778434438e-08
Лесополосы (Козлов увал левый) 05-080-025-182,ВКО,2021,Пшеница яровая,13.155714,33.956,True,лесополосы козлов увал левый 05 080 025 182,213,Лесополосы (Козлов увал левый) 05-080-025-182,50.39439495003087,82.4009559934276,14.0,1.3155714,3.3956000000000004,wheat_spring,1.3155714285714286,physical_harvested_weight,-2.8571428556389833e-08,2.8571428556389833e-08
Соколки 2,ВКО,2023,Ячмень яровой,23.584286,19.374,True,соколки 2,223,Соколки 2,50.43672170185941,82.32653521086154,70.0,2.3584286,1.9373999999999998,barley_spring,2.3584285714285715,physical_harvested_weight,2.8571428334345228e-08,2.8571428334345228e-08
Бригадная стрелка,ВКО,2024,Подсолнечник,32.521794,31.278,True,бригадная стрелка,230,Бригадная стрелка,50.395122511500006,82.3635248892731,223.0,3.2521794,3.1277999999999997,sunflower,3.2521793721973093,physical_harvested_weight,2.7802690816258746e-08,2.7802690816258746e-08
Козлов увал правый,ВКО,2024,Пшеница озимая,55.194939,57.541,True,козлов увал правый,210,Козлов увал правый,50.38689148783278,82.39474357476328,247.0,5.5194939,5.754099999999999,wheat_winter,5.519493927125506,physical_harvested_weight,-2.7125506285585743e-08,2.7125506285585743e-08
Никитушкин,ВКО,2022,Пшеница яровая,31.27027,39.809,True,никитушкин,216,Никитушкин,50.46224047423968,82.54079808685997,37.0,3.127027,3.9808999999999997,wheat_spring,3.1270270270270273,physical_harvested_weight,-2.7027027282855443e-08,2.7027027282855443e-08
Палатьи,ВКО,2023,Ячмень яровой,33.69359,23.995,True,палатьи,218,Палатьи,50.39824303171275,82.31658540563066,39.0,3.369359,2.3995,barley_spring,3.3693589743589745,physical_harvested_weight,2.5641025747091817e-08,2.5641025747091817e-08
Казачий увал,ВКО,2023,Пшеница озимая,10.820991,21.737,True,казачий увал,197,Казачий увал,50.43149523573457,82.4485335081973,343.0,1.0820991,2.1736999999999997,wheat_winter,1.0820991253644316,physical_harvested_weight,-2.5364431666119458e-08,2.5364431666119458e-08
Давыдкин увал правый,ВКО,2023,Подсолнечник,26.881993,23.085,True,давыдкин увал правый,232,Давыдкин увал правый,50.39798984192721,82.45765463681025,296.0,2.6881993,2.3085,sunflower,2.6881993243243243,physical_harvested_weight,-2.4324324332525293e-08,2.4324324332525293e-08
Костенькина стрелка,ВКО,2023,Пшеница яровая,29.445588,16.78,True,костенькина стрелка,212,Костенькина стрелка,50.42075375796417,82.34016151551197,136.0,2.9445588000000003,1.6780000000000002,wheat_spring,2.9445588235294116,physical_harvested_weight,-2.352941130823183e-08,2.352941130823183e-08
Карелкино,ВКО,2025,Пшеница яровая,38.430769,30.721,True,карелкино,208,Карелкино,50.38399205572653,82.34789025946256,130.0,3.8430769,3.0721,wheat_spring,3.8430769230769233,physical_harvested_weight,-2.3076923483245082e-08,2.3076923483245082e-08
Холодный ключ,ВКО,2022,Пшеница яровая,30.794231,33.052,True,холодный ключ,224,Холодный ключ,50.46114160184362,82.52865210168042,104.0,3.0794231,3.3052,wheat_spring,3.079423076923077,physical_harvested_weight,2.3076923039155872e-08,2.3076923039155872e-08
Холодный ключ,ВКО,2023,Ячмень яровой,24.814519,22.415,True,холодный ключ,224,Холодный ключ,50.46114160184362,82.52865210168042,104.0,2.4814519,2.2415,barley_spring,2.481451923076923,physical_harvested_weight,-2.3076923039155872e-08,2.3076923039155872e-08
Карелкино,ВКО,2022,Пшеница яровая,23.569231,34.204,True,карелкино,208,Карелкино,50.38399205572653,82.34789025946256,130.0,2.3569231,3.4204,wheat_spring,2.356923076923077,physical_harvested_weight,2.3076923039155872e-08,2.3076923039155872e-08
Карелкино,ВКО,2023,Пшеница яровая,20.180769,15.494,True,карелкино,208,Карелкино,50.38399205572653,82.34789025946256,130.0,2.0180769,1.5493999999999999,wheat_spring,2.018076923076923,physical_harvested_weight,-2.3076923039155872e-08,2.3076923039155872e-08
Коновалиха 1,ВКО,2021,Ячмень яровой,20.222764,35.18,True,коновалиха 1,195,Коновалиха 1,50.42198096600295,82.4644614849937,123.0,2.0222764,3.518,barley_spring,2.022276422764228,physical_harvested_weight,-2.2764227836091777e-08,2.2764227836091777e-08
Лесополосы (Козлов увал правый) 05-080-025-208,ВКО,2021,Пшеница яровая,15.857778,28.408,True,лесополосы козлов увал правый 05 080 025 208,214,Лесополосы (Козлов увал правый) 05-080-025-208,50.39509947120296,82.40013226517021,9.0,1.5857778,2.8408,wheat_spring,1.5857777777777775,physical_harvested_weight,2.22222225065849e-08,2.22222225065849e-08
