field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source,spread_t_ha,sources_used
229,2023,wheat_winter,3.4433333333333334,3.4433333,3.4433333333333334,34.433333,,,,20.76,2.076,Пшеница озимая,3.4433333,2.076,,,wheat_winter,3.443333333333334,physical_harvested_weight,1.3673333333333337,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
214,2022,sunflower,1.0022222222222221,1.0022221999999998,1.0022222222222221,10.022222,,,,23.271,2.3271,Подсолнечник,1.0022221999999998,2.3271,1.0914285714285714,1.0,sunflower,1.002222222222222,physical_harvested_weight,1.3248778000000003,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
230,2022,sunflower,3.257219730941704,3.2572197000000003,3.257219730941704,32.572197,,,,31.92,3.192,Подсолнечник,3.2572197000000003,3.192,1.945001251303441,2.0,sunflower,3.257219730941704,physical_harvested_weight,1.3122184796382632,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
226,2023,barley_spring,1.1793749999999998,2.4828947,1.1793749999999998,24.828947,,,,21.623,2.1623,Ячмень яровой,2.4828947,2.1623,,,barley_spring,1.1793749999999998,physical_harvested_weight,1.3035197000000003,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
228,2021,wheat_winter,2.4169491525423727,2.4169492000000004,2.4169491525423727,24.169492,,,,37.058,3.7058,Пшеница озимая,2.4169492000000004,3.7058,,,wheat_winter,2.4169491525423727,physical_harvested_weight,1.2888508474576272,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
228,2022,wheat_spring,4.564745762711865,4.5647458,4.564745762711865,45.647458,,,,32.991,3.2991,Пшеница яровая,4.5647458,3.2991,3.2843750000000003,1.0,wheat_spring,4.564745762711865,physical_harvested_weight,1.2803707999999996,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
232,2024,wheat_spring,3.330304054054054,3.3303041,3.330304054054054,33.303041,,,,41.416,4.1415999999999995,Пшеница яровая,3.3303041,4.1415999999999995,2.87,2.0,wheat_spring,3.330304054054054,physical_harvested_weight,1.2715999999999994,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
227,2025,pea,1.5521965317919073,1.5521965,1.5521965317919073,15.521965,,,,28.22,2.822,Горох,1.5521965,2.822,,,pea,1.5521965317919073,physical_harvested_weight,1.2698035,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
212,2023,wheat_spring,2.9445588235294116,2.9445588000000003,2.9445588235294116,29.445588,,,,16.78,1.6780000000000002,Пшеница яровая,2.9445588000000003,1.6780000000000002,,,wheat_spring,2.9445588235294116,physical_harvested_weight,1.2665588235294114,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
233,2022,,4.4169230769230765,4.4169231,4.4169230769230765,44.169231,44.169231,4.4169231,46.0,,,,,,3.159791666666667,1.0,,4.4169230769230765,physical_harvested_weight,1.257131433333333,physical_t_ha;productivity_t_ha;additional_t_ha;yield_map_t_ha;factual_target_t_ha
