field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source
214,2001,sunflower,,,,,,,,,,,,,,,,,
214,2002,sunflower,,,,,,,,,,,,,,,,,
214,2003,sunflower,,,,,,,,,,,,,,,,,
214,2004,sunflower,,,,,,,,,,,,,,,,,
214,2005,sunflower,,,,,,,,,,,,,,,,,
214,2006,sunflower,,,,,,,,,,,,,,,,,
214,2007,sunflower,,,,,,,,,,,,,,,,,
214,2008,sunflower,,,,,,,,,,,,,,,,,
214,2009,sunflower,,,,,,,,,,,,,,,,,
214,2010,sunflower,,,,,,,,19.55,1.955,,,,,,,,
214,2011,sunflower,,,,,,,,20.53,2.053,,,,,,,,
214,2012,sunflower,,,,,,,,16.657,1.6657,,,,,,,,
214,2013,sunflower,,,,,,,,20.64,2.064,,,,,,,,
214,2014,sunflower,,,,,,,,26.513,2.6513,,,,,,,,
214,2015,sunflower,,,,,,,,22.145,2.2145,,,,,,,,
214,2016,sunflower,,,,,,,,23.114,2.3114,,,,,,,,
214,2017,sunflower,,,,,,,,24.927,2.4927,,,,,,,,
214,2018,sunflower,,,,,,,,26.65,2.665,Подсолнечник,,2.665,,,,,
214,2019,sunflower,,,,,,,,21.573,2.1573,Подсолнечник,,2.1573,,,,,
214,2020,wheat_spring,,3.19,,3.19,,,,15.097,1.5097,Пшеница яровая,0.319,1.5097,,,wheat_spring,3.19,productivity_normalized
214,2021,wheat_spring,1.5857777777777777,1.5857778,1.5857777777777777,15.857778,,,,28.408,2.8408,Пшеница яровая,1.5857778,2.8408,0.6312242268041237,1.0,wheat_spring,1.5857777777777775,physical_harvested_weight
214,2022,sunflower,1.0022222222222221,1.0022221999999998,1.0022222222222221,10.022222,,,,23.271,2.3271,Подсолнечник,1.0022221999999998,2.3271,1.0914285714285714,1.0,sunflower,1.002222222222222,physical_harvested_weight
